# id	left	top	right	bottom	texture_id
# Tree
[SPRITES]
60003	307	324	322	339	30
60005	341	324	356	339	30
60004	324	324	339	339	30
60001	307	307	322	322	30
60002	324	307	339	322	30
60006	307	341	322	356	30
60007	324	341	339	356	30

60011	375	324	390	339	30

# CLOUDE
60021	715	1	730	16	30
60022	732	1	747	16	30
60023	749	1	764	16	30
60024	715	18	730	33	30
60025	732	18	747	33	30
60026	749	18	764	33	30

#PIPELINE
60101	902	290	917	305	30
60102	919	290	934	305	30
60103	936	290	951	305	30
60104	902	307	917	322	30
60105	919	307	934	322	30
60106	936	307	951	322	30
60107	902	324	917	339	30
60108	919	324	934	339	30
60109	936	324	951	339	30


#BOX COLOR
## Pink
60031	919	137	934	152	30
60032	936	137	951	152	30
60033	953	137	968	152	30
60034	919	154	934	169	30
60035	936	154	951	169	30
60036	953	154	968	169	30
60037	919	171	934	186	30
60038	936	171	951	186	30
60039	953	171	968	186	30

## Blue
60041	970	137	985	152	30
60042	987	137	1002	152	30
60043	1004	137	1019	152	30
60044	970	154	985	169	30
60045	987	154	1002	169	30
60046	1004	154	1019	169	30
60047	970	171	985	186	30
60048	987	171	1002	186	30
60049	1004	171	1019	186	30

## green
60051	919	188	934	203	30
60052	936	188	951	203	30
60053	953	188	968	203	30
60054	919	205	934	220	30
60055	936	205	951	220	30
60056	953	205	968	220	30
60057	919	222	934	237	30
60058	936	222	951	237	30
60059	953	222	968	237	30

## white
60061	970	188	985	203	30
60062	987	188	1002	203	30
60063	1004	188	1019	203	30
60064	970	205	985	220	30
60065	987	205	1002	220	30
60066	1004	205	1019	220	30
60067	970	222	985	237	30
60068	987	222	1002	237	30
60069	1004	222	1019	237	30

## orange
60071	919	239	934	254	30
60072	936	239	951	254	30
60073	953	239	968	254	30
60074	919	256	934	271	30
60075	936	256	951	271	30
60076	953	256	968	271	30
60077	919	273	934	288	30
60078	936	273	951	288	30
60079	953	273	968	288	30

## khúc gỗ
60201	408	225	423	240	20

## RANH GIOI
60081	698	69	713	84	30
60082	698	86	713	101	30

## BLACK
60083	0	0	200	150	50
60091	715	69	730	84	30
60092	732	69	747	84	30
60093	715	86	730	101	30
60094	732	86	747	101	30
60095	698	35	713	50	30

